parameter file: page.parameters
trace file: ./trace/1615_0.csv
-----------------------parameter file----------------------
#parameter file
#dram capacity = 131074;     #the unit is B
dram capacity = 0;
chip number[0] = 2;
chip number[1] = 2;
chip number[2] = 2;
chip number[3] = 2;
chip number[4] = 2;
chip number[5] = 2;
chip number[6] = 2;
chip number[7] = 2;
chip number[8] = 0;
chip number[9] = 0;
chip number[10] = 0;
chip number[11] = 0;
chip number[12] = 0;
chip number[13] = 0;
chip number[14] = 0;
chip number[15] = 0;
chip number[16] = 0;
chip number[17] = 0;
chip number[18] = 0;
channel number = 8;   #the number of channel
chip number = 16;
die number = 1;
plane number = 1;
block number = 512;
page number = 512;
subpage page = 16;
page capacity = 8192;
subpage capacity = 512;
t_PROG = 200000;             #the unit is ns  Program
t_PROG_L = 500000;           #program on LSB
t_PROG_C = 2000000
t_PROG_M = 5500000;           #program on MSB
turbo_mode = 0;
turbo_mode_factor = 34;
turbo_mode_factor_2 = 67;
fast_gc = 0;      #快速gc
fast_gc_thr_1 = 0.3;
fast_gc_filter_1 = 0.9;
fast_gc_thr_2 = 0.1;
fast_gc_filter_2 = 0.8;
fast_gc_filter_idle = 1.5;
dr_switch = 0;   #data reorganize
dr_cycle = 7;
#时间设置
t_DBSY = 50;
t_BERS = 15000000;            #Erase
t_CLS = 12;
t_CLH = 5;
t_CS = 20;
t_CH = 5;
t_WP = 12;
t_ALS = 12;
t_ALH = 5;
t_DS = 12;
t_DH = 5;
t_WC = 5;              #original value 25
t_WH = 10;
t_ADL = 70;
t_R = 75000;                     #Read
t_AR = 10;
t_CLR = 10;
t_RR = 20;
t_RP = 12;
t_WB = 100;
t_RC = 5;               #original value 25
t_REA = 30;
t_CEA = 45;
t_RHZ = 100;
t_CHZ = 30;
t_RHOH = 15;
t_RLOH = 5;
t_COH = 15;
t_REH = 10;
t_IR = 0;
t_RHW = 100;
t_WHR = 60;
t_RST = 5000;
erase limit=100000;                          #record the erasure number of block
flash operating current=25000.0;               #unit is uA
flash supply voltage=3.3;                    #voltage is 3.3V
dram active current=125000;                     #active current of DRAM，unit is uA
dram standby current=50000;                     #standby current of DRAM，unit is uA
dram refresh current=5000;                     #refresh current of DRAM，unit is uA
dram voltage=3.3;                      #working voltage of DRAM，unit is V    3.3V
address mapping=1;                    #mapping schemes，1：page；2：block；3：fast
wear leveling=1;                      #record WL algorithm mode
gc=1;                                 #record garbage collection mode
overprovide=0.15;                     #reserved area percentage, unavailable to users(op)
gc threshold=0.35;                    #GC operation begins when this threshold is reached.
buffer management=0;                  #record buffer scheme
scheduling algorithm=1;               #1:FCFS recordscheduling algorithm mode, 1 means FCFS
gc hard threshold=0.30;          #
allocation=0;                   #0 for dynamic allocation, 1 for static allocation
static_allocation=2;            #record static allocation mode like all static allocation modes0-6 in ICS2011 paper
dynamic_allocation=2;           #record dynamic allocation mode, 0 for all dynamic, 1 for fixed channel and dynamic package, die, plane
advanced command=0;             #advanced command indicator, 0 for no advanced command, bin number 00001 for random, 00010 for copyback, 00100 for two-plane-program, 01000 for interleave, 10000 for two-plane-read, 11111 for using all；
advanced command priority=0;    #0 for interleave is prior to two-plane, 1 for two-plane is prior to interleave
greed CB command=0;            #1 for using copyback command greedily, 0 for not
greed MPW command=0;            #1 for using multi-plane write greedily, 0 for not
aged=0;                         #1 for making SSD aged, 0 for keeping SSD non-aged
aged ratio=0.7;                #If we need to make SSD aged, set the aged ratio in advance

-----------------------simulation output----------------------
requests            time       gc_count          r_lat          w_lat          w_lsb          w_csb          w_msb           f_gc       mov_page      free_lsb     r_req_count    w_req_count    same_pages       req_lsb       req_csb       req_msb       w_req_count_l    same_pages_l       req_lsb_l       req_csb_l       req_msb_l
10000, 1455602454581729051,             0,        586205,       7727051,        288016,        288006,        286320,             0,             0,       1110085,          2486,          7513,          6674,          2165,          2526,          2822,          4234,          3395,          1108,          1411,          1715,      11067394
20000, 1455602507943710270,             0,        564857,       3344482,          5760,          5768,          5728,             0,             0,       1104325,          1779,          8221,          7492,          2463,          2759,          2999,          4183,          3454,          1122,          1398,          1663,       4202331
30000, 1455602544929475875,             0,        465365,        896976,          2720,          2712,          2704,             0,             0,       1101605,          5559,          4441,          4163,          1396,          1470,          1575,          2137,          1859,           607,           729,           801,       1202171
40000, 1455602572384258102,             0,        400289,        843833,          1488,          1498,          1492,             0,             0,       1100117,          7463,          2537,          2398,           761,           895,           881,          1156,          1017,           331,           390,           435,       1058677
50000, 1455602597432772471,             0,        423473,        723290,          1353,          1344,          1340,             0,             0,       1098764,          7627,          2373,          2255,           773,           786,           814,          1029,           911,           307,           331,           391,       1012320
60000, 1455602661847991645,             0,        899680,     222099660,         12887,         12895,         12813,             0,             0,       1085877,          1224,          8776,          6853,          2301,          2911,          3564,          4865,          2942,          1016,          1596,          2253,     333647985
70000, 1455602714533942078,             0,        759594,     208809390,         10864,         10852,         10787,             0,             0,       1075013,          2970,          7030,          5389,          1836,          2292,          2902,          3986,          2345,           818,          1311,          1857,     272524428
80000, 1455602750522651163,             0,        380847,      95153572,          4952,          4957,          4944,             0,             0,       1070061,          5466,          4534,          3876,          1294,          1515,          1725,          2401,          1743,           592,           805,          1004,     147851498
90000, 1455602771455125531,             0,        278413,        696324,          1016,          1024,           993,             0,             0,       1069045,          8138,          1862,          1773,           591,           630,           641,           827,           738,           251,           280,           296,        854001
100000, 1455602831788225244,             0,        303939,       1198746,          3630,          3618,          3615,             0,             0,       1065415,          4178,          5822,          5443,          1827,          1924,          2071,          2634,          2255,           765,           857,          1012,       1580494
110000, 1455602940548899134,             0,        648751,       1223330,          5714,          5726,          5683,             0,             0,       1059701,           919,          9081,          8543,          2830,          3044,          3207,          3971,          3433,          1150,          1317,          1504,       1771100
120000, 1455603026938481982,             0,        428335,       1133117,          4800,          4800,          4771,             0,             0,       1054901,          1989,          8011,          7571,          2498,          2696,          2817,          3515,          3075,          1028,          1178,          1309,       1633943
130000, 1455603110883787870,             0,        478817,       1205647,          4794,          4784,          4762,             0,             0,       1050107,          2322,          7678,          7218,          2385,          2549,          2744,          3420,          2960,           994,          1133,          1293,       1706388
140000, 1455603195343885118,             0,        474587,       1273532,          5014,          5021,          4976,             0,             0,       1045093,          1438,          8562,          8055,          2669,          2883,          3010,          3974,          3467,          1143,          1322,          1509,       1739133
150000, 1455603285178832446,             0,        444113,       4664156,          5424,          5411,          5392,             0,             0,       1039669,           632,          9368,          8854,          2986,          3135,          3247,          4450,          3936,          1328,          1478,          1644,       7282033
160000, 1455603349999734192,             0,        635866,       1192957,          5104,          5119,          5092,             0,             0,       1034565,          1891,          8109,          7575,          2468,          2712,          2929,          4052,          3518,          1155,          1353,          1544,       1517167
170000, 1455603422428288035,             0,        553835,       2734278,          4832,          4833,          4803,             0,             0,       1029733,          1584,          8416,          7943,          2658,          2768,          2990,          3944,          3471,          1149,          1319,          1476,       3454387
180000, 1455603511155810878,             0,        401353,        987066,          5008,          4994,          4969,             0,             0,       1024725,          2095,          7905,          7412,          2474,          2671,          2760,          3505,          3012,           998,          1185,          1322,       1439596
190000, 1455603611135936414,             0,        476832,       4175807,          7092,          7102,          7056,             0,             0,       1017633,           966,          9034,          8212,          2744,          3012,          3278,          4366,          3544,          1201,          1444,          1721,       7452142
200000, 1455603691838129470,             0,        687494,       1835193,          5276,          5270,          5248,             0,             0,       1012357,          1234,          8766,          8193,          2737,          2919,          3110,          4258,          3685,          1231,          1416,          1611,       2411600
210000, 1455603779769377985,             0,        250239,        815688,          4056,          4058,          4032,             0,             0,       1008301,          3173,          6827,          6472,          2157,          2256,          2414,          2980,          2625,           891,           999,          1090,       1194178
220000, 1455603864068849947,             0,        443825,        896834,          4632,          4640,          4607,             0,             0,       1003669,          2205,          7795,          7348,          2418,          2648,          2729,          3453,          3006,          1005,          1155,          1293,       1265451
230000, 1455603903846473022,             0,        642097,       8903597,          4832,          4832,          4815,             0,             0,        998837,          4798,          5202,          4528,          1525,          1696,          1981,          2806,          2132,           707,           917,          1182,      13665133
