parameter file: page.parameters
trace file: ./trace/1615_1.csv
-----------------------parameter file----------------------
#parameter file
#dram capacity = 131074;     #the unit is B
240000, 1455603959374340891,             0,        638783,       6625058,          5444,          5507,          5443,             0,             0,       1123838,          1321,          8679,          5548,          1831,          2790,          4058,          4455,          1324,           456,          1379,          2620,       7868192
250000, 1455604071923019547,             0,        474751,       4089730,          4937,          5001,          4940,             0,             0,       1118901,          1970,          8030,          5190,          1710,          2609,          3711,          3918,          1078,           348,          1191,          2379,       4934968
260000, 1455604180187829662,           432,       3992067,     105772387,         56963,         57629,         56960,             0,        155775,       1100034,          1544,          8456,          5552,          1865,          2681,          3910,          4098,          1194,           430,          1233,          2435,     136111252
270000, 1455604299046505537,           566,       1994233,      48922941,         25772,         26082,         25775,             0,        217462,       1085652,           962,          9038,          5697,          1874,          2918,          4246,          4601,          1260,           412,          1448,          2741,      60499504
280000, 1455604386757290950,           775,       1518633,     110698020,         40022,         40489,         40022,             0,        319955,       1063395,          2878,          7122,          4338,          1450,          2169,          3503,          3737,           953,           316,          1018,          2403,     138668979
290000, 1455604487322391148,           845,        596866,      24549730,         15528,         15715,         15530,             0,        353610,       1053817,          3155,          6845,          4331,          1433,          2182,          3230,          3435,           921,           303,          1037,          2095,      27927136
300000, 1455604591961390270,          1068,       6013340,     100868566,         41275,         41757,         41273,             0,        460387,       1031497,          1955,          8045,          5045,          1691,          2503,          3851,          4137,          1137,           358,          1225,          2554,     116433682
310000, 1455604704481342531,          1315,       1483264,      76926149,         45982,         46519,         45980,             0,        579919,       1006510,          1358,          8642,          5314,          1762,          2707,          4173,          4556,          1228,           436,          1292,          2828,      88489665
320000, 1455604813539896766,          1534,       2409029,      73823877,         39354,         39818,         39350,             0,        685094,        985771,          2730,          7270,          4720,          1590,          2312,          3368,          3580,          1030,           327,          1098,          2155,      80956750
330000, 1455604930942952350,          1743,       2622352,      60860614,         37309,         37745,         37310,             0,        781053,        966142,          1089,          8911,          5622,          1889,          2843,          4179,          4549,          1260,           392,          1434,          2723,      72644452
340000, 1455605010655166110,          1978,      18375647,     107850016,         43554,         44068,         43554,             0,        893214,        942478,          2606,          7394,          4385,          1449,          2236,          3709,          4014,          1005,           317,          1113,          2584,     129100555
